what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.web.ui",1284681455013
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.ui",1284681455013
stopped,bundle,org.eclipse.jpt.ui,2.2.2.v200911250220,"org.eclipse.jpt.ui",1284681455013
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.102.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.ui",1284681455013
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.301.v200908131325,"org.eclipse.jst.ejb.ui",1284681455013
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1284681455013
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1284681455013
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1284681455013
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1284681455013
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1284681455013
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1284681455013
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.409.v200911241856,"org.eclipse.jst.ws.creation.ui",1284681455013
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.106.v200911241851,"org.eclipse.jst.ws.consumption.ui",1284681455013
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.300.v200902052230,"org.eclipse.jst.j2ee.webservice.ui",1284681455013
stopped,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1284681455013
stopped,bundle,org.eclipse.jst.jee.ui,1.0.201.v201002021208,"org.eclipse.jst.jee.ui",1284681455013
stopped,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.navigator.ui",1284681455013
stopped,bundle,org.eclipse.jst.j2ee.jca.ui,1.1.300.v200809052300,"org.eclipse.jst.j2ee.jca.ui",1284681455013
stopped,bundle,org.eclipse.jst.j2ee.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.ui",1284681455013
stopped,bundle,org.eclipse.wst.web.ui,1.1.301.v201001252130,"org.eclipse.wst.web.ui",1284681455013
stopped,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1284681455013
stopped,bundle,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.ui",1284681455013
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.1.6.v20100203,"org.eclipse.jst.jsf.facesconfig.ui",1284681455013
stopped,bundle,org.eclipse.stp.sca.formeditor,2.0.1.201002010854,"org.eclipse.stp.sca.formeditor",1284681455013
stopped,bundle,org.eclipse.stp.sca.xmleditor,2.0.1.201002010854,"org.eclipse.stp.sca.xmleditor",1284681455013
stopped,bundle,org.eclipse.stp.xef,1.0.0.201002010854,"org.eclipse.stp.xef",1284681455013
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1284681455013
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.jaxp.debug.ui",1284681455013
stopped,bundle,org.eclipse.wst.xsl.ui,1.0.100.v200907172129,"org.eclipse.wst.xsl.ui",1284681455013
